current,dc,valver,command,valve
1.205882311,35,2548,2309,14.17536036
1.147058845,35,2491,2309,13.72143028
1.147058845,35,2393,2309,12.94098909
1,35,2314,2309,12.31185793
1.117647052,35,2235,2309,11.68272677
0.941176474,35,2177,2309,11.220833
1.029411793,35,2078,2309,10.43242813
1.323529363,35,1999,2309,9.803296966
0.941176474,35,1920,2309,9.174165804
0.823529422,35,1861,2309,8.704308354
1.264705896,35,1763,2309,7.923867166
0.941176474,35,1683,2309,7.286772318
0.970588207,35,1602,2309,6.641713785
1.235294104,35,1545,2309,6.187783706
1.117647052,35,1445,2309,5.391415147
0.941176474,35,1367,2309,4.770247671
0.970588207,35,1286,2309,4.125189138
1.176470637,35,1229,2309,3.671259059
1.058823586,35,1129,2309,2.874890499
1.352941155,35,1050,2309,2.245759337
0.882352948,35,970,2309,1.60866449
1.029411793,35,912,2309,1.146770725
0.852941155,35,813,2309,0.358365852
0,30,753,2309,-0.119455284
0,15,753,2309,-0.119455284
0,5,753,2309,-0.119455284
0,1,753,1,-0.119455284
